"Name","x","z","city-owning nation (subdivision if applicable) Nation","leader of city/nation Contact","city picture image","many pictures image_album","for nation or city Discord","for city/nation websites Web","civwiki page Wiki","flag Symbol","welcome/ask/keep out Visitors","1 = big
2/3 = zoom in
4 = abandoned
5= destroyed Zoom Visibility","ignore id","random other stuff Notes","Short name Nickname"
"298","297","","100%","95%","15%","0%","74%","1%","52%","29%","88%","","","79%",""
"Altepetl","7609","-737","Yoahtl","Aki, x1025","https://static.miraheze.org/civwikiwiki/a/a1/Altepetl2.png","","https://discord.gg/5SEqUCm5Gm","Web","https://civwiki.org/wiki/Yoahtl_","","ask beforehand","1","1","Trenched City and Capital of Yoahtl","Yoahtl"
"Brunsvik","-7263","4700","Salerno","realmichael, luminous15, Bronnakus","https://static.wikitide.net/civwikiwiki/8/85/BrunsvikSkyline.png","","https://discord.gg/2wcXNTCYBH","","https://civwiki.org/wiki/Salerno","","welcome","1","2","Commercial center and newfriend haven. Capital and largest city of Salerno.","Brunsvik"
"City of Pavia","725","-3039","Pavia","Gobblin, paagf, BritishWanderer","","","https://discord.gg/civpavia","","https://civwiki.org/wiki/Pavia","","welcome","1","3","","Pavia"
"Icenia City","-3863","-4345","Icenia","ChrisChrispie","","","https://discord.gg/QaptrHSC7t","https://iceniagov.protonull.uk/","https://civwiki.org/wiki/Icenia_(CivMC)","","welcome","1","4","Commercial center and newfriend haven. Capital and largest city of Icenia.","Icenia"
"Malina","-7725","-1000","Mercutio","Sdorr","","","","","https://civwiki.org/wiki/Mercutio","https://static.miraheze.org/civwikiwiki/5/5c/Mercutio_Flag.png","welcome","2","5","Capital of Mercutio","Mercutio"
"New Callisto","-3310","8060","I.F.","Jalhf, Government of the I.F.","https://civwiki.org/wiki/File:NewCallisto.jpg","","https://discord.gg/Zakw3KYGrH","https://civif.net/","https://civwiki.org/wiki/Imperial_Federation","","welcome","1","6","Capital of the I.F.","I.F."
"Roma","3000","-5400","S.P.Q.R.","Alberl","https://i.imgur.com/gsup0zi.png","","https://discord.gg/D4VHT3RfBr","","https://civwiki.org/wiki/SPQR","https://i.imgur.com/aIY4DTf.png","welcome","1","7","","Roma"
"San Rafael ","-8000","1400","Karydian Union (I.F.)","Potato_Duke","","","","","","","welcome","2","8","Karydian Union Capital City","Karydia"
"Shiroyama","3200","4800","Nara","Bronnakus","","","https://discord.com/invite/M8etHAEyBB","","https://civwiki.org/wiki/Nara","","welcome","1","9","Capital of Nara","Nara"
"Suramir","0","0","Estalia","Walkers","","","https://discord.gg/9Hx879n5HS","","https://civwiki.org/wiki/Estalia","https://static.wikitide.net/civwikiwiki/e/ec/Estalia.png","welcome","1","10","","Estalia"
"Winterbourne Castle","-60","-7555","Winterbourne","Princess__Bow","https://static.miraheze.org/civwikiwiki/7/70/Winterbourne_Castle.png","","https://discord.com/invite/eHMFHNsgvh","","https://civwiki.org/wiki/Winterbourne","https://static.miraheze.org/civwikiwiki/thumb/7/7b/House_of_Winterbourne_Saltaire.png/180px-House_of_Winterbourne_Saltaire.png","welcome","1","11","Capital city of Winterbourne","Wintercastle"
"Accra City","4844","586","Accra","Forged_tk, sadchamp","","","https://discord.gg/fhPudAKX3e","","https://civwiki.org/wiki/Accra","https://static.wikitide.net/civwikiwiki/1/1d/Accra.png","welcome","2","14","Capital of Accra","Accra"
"Acheron","-4153","7490","Felis (I.F.)","Byhalia","","","","","","","welcome","2","15","","Acheron"
"Adria","2598","-4002","Griffin","Seekinq","","","https://discord.gg/e3Vjuxfp","","https://civwiki.org/wiki/Griffin","https://static.wikitide.net/civwikiwiki/2/2f/FlagOfGriffin.png","welcome","2","16","Capital city of Griffin","Adria"
"Adrimacii","-5700","7900","Voldi (I.F.)","warendrop","","","https://discord.gg/Zakw3KYGrH","","","","welcome","2","17","State Capital","Adrimacii"
"Aethia","-2952","8040","Godhaven (I.F.)","Jalhf","","","https://discord.gg/Zakw3KYGrH","","","","welcome","2","18","Primary residence of the current King of the I.F.","Aethia"
